customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_tickets,satisfaction_score,churn
CUST00001,Male,35,44,436.87,19222.28,Monthly,None,Debit Card,2,10,No
CUST00002,Male,24,12,2583.17,30998.04,Yearly,Fiber,Net Banking,1,5,No
CUST00003,Female,29,48,2197.14,105462.72,Yearly,DSL,Credit Card,0,2,Yes
CUST00004,Female,34,68,876.39,59594.52,Two Year,DSL,Net Banking,10,7,No
CUST00005,Female,48,54,2197.73,118677.42,Monthly,None,UPI,6,2,Yes
CUST00006,Female,67,14,1044.17,14618.38,Monthly,None,Credit Card,10,9,No
CUST00007,Female,36,18,2334.58,42022.44,Monthly,None,Debit Card,2,8,No
CUST00008,Male,47,47,2393.23,112481.81,Yearly,Fiber,Debit Card,3,5,No
CUST00009,Female,65,34,704.14,23940.76,Monthly,DSL,Net Banking,3,10,No
CUST00010,Female,31,54,1019.74,55065.96,Yearly,None,Net Banking,6,3,Yes
CUST00011,Male,57,49,1219.16,59738.84,Monthly,None,Net Banking,0,10,No
CUST00012,Male,35,23,1949.98,44849.54,Two Year,Fiber,Net Banking,0,4,No
CUST00013,Female,41,27,1198.41,32357.07,Monthly,DSL,UPI,8,3,Yes
CUST00014,Female,35,63,1684.22,106105.86,Yearly,DSL,Net Banking,8,3,Yes
CUST00015,Female,27,42,320.9,13477.8,Two Year,DSL,Debit Card,4,1,No
CUST00016,Female,45,71,2230.52,158366.92,Monthly,DSL,Credit Card,8,10,Yes
CUST00017,Female,39,23,474.9,10922.7,Monthly,None,Debit Card,7,4,Yes
CUST00018,Female,31,31,2507.55,77734.05,Yearly,Fiber,Debit Card,3,8,No
CUST00019,Female,61,64,566.78,36273.92,Yearly,Fiber,Net Banking,3,8,No
CUST00020,Female,20,66,648.93,42829.38,Yearly,None,UPI,2,8,No
CUST00021,Female,59,27,357.57,9654.39,Yearly,DSL,Credit Card,2,9,No
CUST00022,Male,36,41,1710.06,70112.46,Two Year,None,Credit Card,10,4,Yes
CUST00023,Male,27,9,1857.8,16720.2,Yearly,DSL,UPI,3,3,Yes
CUST00024,Male,61,48,2002.48,96119.04,Two Year,None,UPI,2,1,Yes
CUST00025,Male,39,12,865.26,10383.12,Monthly,None,Net Banking,4,3,No
CUST00026,Male,45,53,577.02,30582.06,Two Year,DSL,Debit Card,10,8,No
CUST00027,Male,49,46,2510.85,115499.1,Two Year,Fiber,Debit Card,2,1,Yes
CUST00028,Female,27,54,2156.86,116470.44,Yearly,DSL,Credit Card,5,7,No
CUST00029,Female,42,25,2264.93,56623.25,Two Year,DSL,UPI,6,6,Yes
CUST00030,Male,42,12,2297.37,27568.44,Two Year,DSL,Debit Card,7,6,Yes
CUST00031,Female,26,47,828.39,38934.33,Monthly,Fiber,UPI,5,5,No
CUST00032,Male,49,71,2915.66,207011.86,Two Year,Fiber,UPI,0,2,Yes
CUST00033,Female,44,20,2029.84,40596.8,Two Year,None,Net Banking,9,1,Yes
CUST00034,Female,63,3,1539.73,4619.19,Two Year,DSL,Credit Card,2,5,No
CUST00035,Male,19,35,673.09,23558.15,Yearly,None,Credit Card,2,3,No
CUST00036,Male,24,4,2686.2,10744.8,Monthly,Fiber,Credit Card,6,5,Yes
CUST00037,Male,38,52,2797.37,145463.24,Yearly,DSL,Credit Card,10,4,Yes
CUST00038,Male,43,57,367.96,20973.72,Monthly,DSL,Debit Card,9,5,No
CUST00039,Male,54,25,2023.48,50587.0,Two Year,DSL,UPI,9,6,Yes
CUST00040,Female,46,31,1485.64,46054.84,Yearly,None,UPI,2,6,No
CUST00041,Female,34,61,541.78,33048.58,Two Year,Fiber,Net Banking,0,2,No
CUST00042,Female,47,22,2684.35,59055.7,Monthly,Fiber,Debit Card,6,8,Yes
CUST00043,Male,43,23,1637.59,37664.57,Monthly,DSL,Debit Card,7,8,No
CUST00044,Male,62,38,2025.06,76952.28,Two Year,Fiber,Credit Card,9,5,Yes
CUST00045,Female,27,11,2743.51,30178.61,Two Year,DSL,Net Banking,6,10,Yes
CUST00046,Female,57,16,1289.25,20628.0,Two Year,DSL,Credit Card,10,10,No
CUST00047,Male,50,21,1988.95,41767.95,Yearly,DSL,Debit Card,3,4,No
CUST00048,Female,33,33,1448.28,47793.24,Monthly,Fiber,Net Banking,6,2,Yes
CUST00049,Female,51,16,2445.33,39125.28,Monthly,None,Credit Card,0,6,No
CUST00050,Female,54,53,2001.19,106063.07,Two Year,None,UPI,5,8,No
CUST00051,Male,69,1,2172.07,2172.07,Monthly,Fiber,Net Banking,2,5,Yes
CUST00052,Male,47,11,419.31,4612.41,Yearly,None,UPI,8,2,Yes
CUST00053,Female,41,31,2580.96,80009.76,Yearly,DSL,UPI,6,2,Yes
CUST00054,Female,44,22,2047.05,45035.1,Monthly,None,Net Banking,8,2,Yes
CUST00055,Male,30,17,2036.83,34626.11,Monthly,Fiber,UPI,10,8,Yes
CUST00056,Male,52,69,1163.14,80256.66,Two Year,None,Debit Card,5,4,No
CUST00057,Male,65,34,2113.79,71868.86,Monthly,DSL,Net Banking,9,1,Yes
CUST00058,Male,63,18,2155.39,38797.02,Two Year,Fiber,Credit Card,0,5,No
